"municipio_id","mpioresidencia","unique_people"
"20550","20550 - Pelaya",15
"20570","20570 - Pueblo Bello",2
"20614","20614 - Río De Oro",5
"20621","20621 - La Paz",22
"20710","20710 - San Alberto",11
"20750","20750 - San Diego",4
"20770","20770 - San Martín",21
"20787","20787 - Tamalameque",28
"23001","23001 - Montería",138
"23068","23068 - Ayapel",24
"23079","23079 - Buenavista",6
"23090","23090 - Canalete",4
"23162","23162 - Cereté",12
"23182","23182 - Chinú",4
"23189","23189 - Ciénaga De Oro",3
"23300","23300 - Cotorra",1
"23350","23350 - La Apartada",3
"23417","23417 - Lorica",3
"23419","23419 - Los Córdobas",5
"23464","23464 - Momil",1
"23466","23466 - Montelíbano",29
"23500","23500 - Moñitos",1
"23555","23555 - Planeta Rica",10
"23570","23570 - Pueblo Nuevo",1
"23574","23574 - Puerto Escondido",4
"23580","23580 - Puerto Libertador",5
"23586","23586 - Purísima",2
"23660","23660 - Sahagún",16
"23670","23670 - San Andrés Sotavento",23
"23672","23672 - San Antero",6
"23675","23675 - San Bernardo Del Viento",1
"23678","23678 - San Carlos",2
"23682","23682 - San José De Uré",1
"23686","23686 - San Pelayo",6
"23807","23807 - Tierralta",12
"23815","23815 - Tuchín",15
"23855","23855 - Valencia",2
"25001","25001 - Agua De Dios",4
"25019","25019 - Albán",2
"25040","25040 - Anolaima",1
"25053","25053 - Arbeláez",1
"25099","25099 - Bojacá",1
"25123","25123 - Cachipay",1
"25126","25126 - Cajicá",8
"25148","25148 - Caparrapí",4
"25168","25168 - Chaguaní",4
"25175","25175 - Chía",10
"25181","25181 - Choachí",1
"25200","25200 - Cogua",2
"25214","25214 - Cota",4
"25245","25245 - El Colegio",4
"25260","25260 - El Rosal",19
"25269","25269 - Facatativá",15
"25281","25281 - Fosca",1
"25286","25286 - Funza",12
"25290","25290 - Fusagasugá",25
"25295","25295 - Gachancipá",2
"25297","25297 - Gachetá",1
"25307","25307 - Girardot",20
"25312","25312 - Granada",4
"25317","25317 - Guachetá",3
"25320","25320 - Guaduas",3
"25328","25328 - Guayabal De Siquima",2
"25335","25335 - Guayabetal",4
"25368","25368 - Jerusalén",1
"25372","25372 - Junín",1
"25377","25377 - La Calera",2
"25386","25386 - La Mesa",3
"25394","25394 - La Palma",8
"25402","25402 - La Vega",1
"25430","25430 - Madrid",8
"25438","25438 - Medina",11
"25473","25473 - Mosquera",15
"25488","25488 - Nilo",1
"25513","25513 - Pacho",4
"25524","25524 - Pandi",1
"25530","25530 - Paratebueno",41
"25572","25572 - Puerto Salgar",2
"25580","25580 - Pulí",1
"25592","25592 - Quebradanegra",1
"25594","25594 - Quetame",1
"25596","25596 - Quipile",3
"25599","25599 - Apulo",2
"25612","25612 - Ricaurte",1
"25645","25645 - San Antonio Del Tequendama",7
"25649","25649 - San Bernardo",1
"25662","25662 - San Juan De Río Seco",5
"25718","25718 - Sasaima",2
"25740","25740 - Sibaté",4
"25743","25743 - Silvania",6
"25745","25745 - Simijaca",1
"25754","25754 - Soacha",323
"25758","25758 - Sopó",3
"25781","25781 - Sutatausa",3
"25785","25785 - Tabio",3
"25805","25805 - Tibacuy",2
"25815","25815 - Tocaima",3
"25817","25817 - Tocancipá",1
"25823","25823 - Topaipí",3
"25841","25841 - Ubaque",1
"25843","25843 - Villa De San Diego De Ubate",2
"25845","25845 - Une",3
"25851","25851 - Útica",1
"25867","25867 - Vianí",1
"25871","25871 - Villagómez",1
"25875","25875 - Villeta",3
"25878","25878 - Viotá",4
"25885","25885 - Yacopí",25
"25899","25899 - Zipaquirá",20
"27001","27001 - Quibdó",649
"27006","27006 - Acandí",30
"27025","27025 - Alto Baudó",2
"27050","27050 - Atrato",4
"27073","27073 - Bagadó",16
"27075","27075 - Bahía Solano",5
"27077","27077 - Bajo Baudó",25
"27099","27099 - Bojaya",5
"27135","27135 - El Cantón Del San Pablo",10
"27150","27150 - Carmen Del Darien",1
"27160","27160 - Cértegui",1
"27205","27205 - Condoto",3
"27245","27245 - El Carmen De Atrato",2
"27250","27250 - El Litoral Del San Juan",2
"27361","27361 - Istmina",50
"27372","27372 - Juradó",7
"27413","27413 - Lloró",3
"27425","27425 - Medio Atrato",41
"27430","27430 - Medio Baudó",167
"27450","27450 - Medio San Juan",6
"27491","27491 - Nóvita",3
"27495","27495 - Nuquí",6
"27580","27580 - Río Iro",9
"27600","27600 - Río Quito",3
"27615","27615 - Riosucio",20
"27660","27660 - San José Del Palmar",4
"27787","27787 - Tadó",6
"27800","27800 - Unguía",7
"27810","27810 - Unión Panamericana",3
"41001","41001 - Neiva",133
"41006","41006 - Acevedo",3
"41013","41013 - Agrado",1
"41020","41020 - Algeciras",11
"41026","41026 - Altamira",1
"41078","41078 - Baraya",1
"41132","41132 - Campoalegre",3
"41206","41206 - Colombia",1
"41244","41244 - Elías",1
"41298","41298 - Garzón",17
"41306","41306 - Gigante",7
"41319","41319 - Guadalupe",1
"41349","41349 - Hobo",3
"41357","41357 - Iquira",2
"41359","41359 - Isnos",8
"41378","41378 - La Argentina",3
"41396","41396 - La Plata",9
"41524","41524 - Palermo",3
"41530","41530 - Palestina",3
"41548","41548 - Pital",5
"41551","41551 - Pitalito",96
"41615","41615 - Rivera",5
"41660","41660 - Saladoblanco",2
"41668","41668 - San Agustín",6
"41676","41676 - Santa María",1
"41770","41770 - Suaza",6
"41791","41791 - Tarqui",5
"41797","41797 - Tesalia",1
"41799","41799 - Tello",2
"41801","41801 - Teruel",3
"41807","41807 - Timaná",3
"41872","41872 - Villavieja",2
